number;time
36689 2;0.6
36731 3;0.67
36731 2;0.58
36745 2;0.28
36788 3;2.28
36833 2;0.47
36961 2;0.44
36961 2;0.75
36989 3;0.15
37116 2;0.45
37424 2;0.56
37643 2;0.04
37688 2;2.75
37745 2;0.12
38013 2;0.52
38027 3;1.07
38028 2;1.21
38671 5;0.73
38686 2;0.41
38927 2;1.1
39136 2;0.24
39310 2;1.42
39330 3;0.29
39332 6;1.8
39669 2;1.1
39734 2;0.38
39734 2;0.38
39761 2;0.3
40008 2;0.79
40341 2;0.27
40971 2;0.74
40979 2;0.35
40979 2;0.17
41372 2;0.66
42057 2;0.34
42116 2;0.84
42116 2;0.27
42237 2;0.27
42274 2;0.05
42429 2;0.8
42440 2;0.35
42532 6;1.13
42569 2;0.51
42577 2;0.71
42601 2;0.99
42747 2;1.05
42832 2;1.23
43034 2;0.05
43115 7;1.74
43139 2;0.27
43164 4;1.35
43216 2;1.26
43306 2;0.7
43497 2;0.55
43626 2;0.3
43831 2;0.88
44177 2;0.91
44313 2;1.35
44372 2;0.33
44372 2;1.12
44408 2;0.52
44607 5;0.63
44854 2;0.4
44854 4;0.91
44875 2;0.96
44875 3;0.88
44881 4;1.53
44881 2;0.27
44881 2;0.69
44913 2;0.22
45021 2;0.05
45022 2;0.65
45094 2;0.28
45214 2;0.26
45336 2;0.19
45480 3;0.36
45532 2;0.49
45668 2;0.46
46188 2;0.09
46294 2;0.69
46374 5;1.36
46385 2;0.3
46664 2;0.59
46773 2;0.58
46822 2;0.08
46822 2;0.5
46836 2;1.43
46836 2;0.14
46908 2;1.0
46960 2;0.07
47070 3;0.46
47185 2;0.5
47194 2;0.25
47257 2;0.55
47390 2;0.94
47417 3;0.32
47417 2;0.28
47611 2;0.32
47641 4;1.77
47992 2;1.22
47992 2;0.56
48016 2;0.18
48097 4;1.18
48184 3;0.37
48184 2;0.5
48219 2;0.9
48229 2;1.01
48258 3;1.44
48398 2;1.63
48398 4;0.79
48503 2;0.06
48667 2;0.41
48822 2;0.62
48822 2;0.79
48935 4;0.67
49592 2;0.39
49592 2;0.6
49836 2;0.46
50035 2;0.6
50035 2;0.36
50079 3;0.99
50079 4;1.86
50249 2;0.03
50265 5;0.38
50265 4;0.91
50353 2;0.29
50353 2;0.33
50353 2;0.3
50376 2;0.88
50535 2;0.34
50638 2;0.88
50651 2;0.35
50915 2;0.41
50982 2;1.61
51090 2;0.58
51539 3;0.64
51667 2;0.79
51923 6;2.03
51947 2;0.06
51961 5;1.85
52047 4;0.99
52110 2;0.86
52225 2;0.55
52237 2;0.97
52255 9;2.05
52269 2;0.34
52648 2;0.85
52733 2;1.95
52985 2;0.63
52988 2;0.35
52992 2;0.22
53172 5;2.2
53178 2;0.27
53272 3;1.08
53316 3;0.78
53516 2;0.07
53539 4;1.06
53539 2;0.07
53663 2;0.42
53767 2;0.26
53878 2;0.35
53883 2;0.32
53883 2;0.4
54028 3;1.31
54083 2;0.9
54405 2;0.08
54597 2;1.56
55072 2;0.02
55155 3;0.73
55303 2;0.55
55303 2;0.38
55551 2;1.99
55591 4;1.46
55683 2;1.36
55943 2;0.52
55943 2;0.23
55953 2;1.01
56084 3;0.69
56168 2;0.61
56480 2;0.87
56480 2;0.32
56699 2;0.33
56934 2;0.33
56965 3;0.07
56965 3;0.42
57224 2;0.09
57503 2;0.15
57503 2;0.9
57529 2;0.36
57606 2;0.46
57610 2;0.55
57753 2;0.42
57765 2;0.45
57867 2;0.19
58082 4;1.18
58141 2;0.39
58286 2;0.53
58305 4;0.85
58480 2;0.41
58549 5;1.21
58797 7;1.67
59027 2;0.64
59027 2;0.5
59187 2;0.28
59322 2;2.06
59442 2;0.34
59442 2;0.28
59503 2;0.71
59771 5;1.68
59847 2;0.24
59881 2;0.65
59915 2;0.96
60245 2;0.59
60337 4;0.27
60507 4;0.3
60610 3;0.81
60632 4;0.58
60861 2;0.67
60909 2;2.65
60979 2;0.11
60979 2;0.65
61030 2;2.01
61042 2;0.09
61081 2;0.27
61179 2;0.18
61179 2;0.44
61288 2;0.77
61293 5;1.12
61536 2;0.16
61971 2;0.07
62308 2;0.25
62308 2;0.26
62424 2;0.92
62739 2;0.49
62810 2;0.44
62867 2;1.22
62903 4;1.15
63168 2;0.07
63204 2;0.52
63204 2;0.66
63854 2;0.15
63895 2;0.24
63917 2;0.54
63918 2;0.62
63951 2;0.04
64376 2;0.5
64487 2;0.45
64487 2;0.9
64888 2;0.17
64979 2;0.53
65095 2;2.73
65257 2;0.21
65277 2;0.89
65338 2;0.41
65378 3;0.46
65779 2;0.51
66058 2;0.6
66143 2;0.75
66326 2;0.94
66409 4;0.62
66485 4;3.05
66733 2;0.52
66816 2;0.24
66895 2;1.61
66927 2;0.4
66997 2;0.44
67036 2;0.31
67143 2;0.58
67166 2;0.5
67178 2;0.82
67764 2;0.68
68515 2;0.67
68979 2;0.17
69202 2;0.28
69273 2;0.47
69533 2;0.07
70102 2;0.32
70185 2;0.05
70218 2;0.04
70660 2;0.73
70869 2;0.05
70869 2;0.42
70967 2;0.88
70967 3;0.9
70969 2;0.06
71126 2;0.08
71126 2;1.76
71235 2;0.57
71338 2;0.69
71505 2;0.28
71517 2;0.67
71718 2;0.09
71740 2;0.73
71759 2;0.31
71949 2;1.04
71949 2;0.25
71998 2;0.99
72061 2;0.05
72083 2;0.04
72229 2;0.49
72452 2;0.3
72659 4;1.56
72727 2;0.79
72790 2;1.23
72899 2;0.16
73076 2;0.33
73076 2;0.24
73677 2;0.23
73781 3;1.4
74031 2;0.86
74307 2;0.52
74307 2;0.81
74429 7;2.35
74449 2;0.59
74868 2;0.73
74997 2;0.48
75260 2;0.4
75336 2;1.02
75634 2;0.92
75708 2;0.44
75833 4;0.44
75960 2;0.5
76027 7;0.82
76036 2;0.07
76264 2;0.1
76630 2;0.35
76640 2;0.58
76740 3;0.9
77102 2;1.2
77273 2;0.36
77540 2;1.73
77661 2;1.42
77915 2;0.57
78003 2;1.03
78003 2;0.21
78174 2;0.56
78501 2;0.99
78626 2;0.44
78628 2;0.61
78711 2;0.69
78748 2;1.59
78868 4;1.0
78983 2;0.37
79057 2;0.41
79168 2;0.7
79168 2;0.3
79202 2;0.49
79667 3;0.68
79821 2;0.4
80273 4;1.0
80303 7;2.62
80600 2;0.5
80625 2;0.46
80732 2;1.01
81315 2;0.7
81437 2;0.61
81620 2;1.3
81708 2;0.26
81888 8;0.57
82041 4;1.22
82060 2;0.22
82060 2;0.29
82427 2;0.34
82427 2;0.06
82463 6;1.24
82463 2;0.57
82915 2;0.25
83225 2;1.16
83225 3;1.69
83642 2;0.69
83649 2;0.61
83741 2;0.08
83801 2;0.48
83801 2;0.33
83863 2;0.5
83907 2;0.28
84191 2;0.84
84297 2;0.28
84351 2;1.22
84644 2;3.93
84693 2;1.01
84782 2;0.36
84783 8;1.4
84783 2;1.2
84896 2;0.19
85352 2;0.71
85499 2;0.92
85780 2;0.06
85795 2;0.27
86359 2;0.97
86359 2;0.69
86364 3;0.99
86447 2;0.19
86642 2;1.1
86676 3;1.19
