number;time
4;1.1
3;0.67
5;1.74
4;1.63
6;1.65
3;0.41
4;1.27
4;1.07
5;1.12
4;1.61
6;1.38
7;1.54
8;1.21
3;1.85
3;0.45
3;0.58
3;0.12
3;0.9
5;2.13
4;0.99
6;1.36
3;0.9
10;3.3
4;0.82
6;5.91
6;1.55
8;3.18
8;2.11
4;0.53
6;1.36
4;2.83
4;0.27
4;1.85
3;0.53
3;0.3
3;0.3
6;0.89
4;0.33
3;1.09
5;1.3
10;2.89
9;4.37
3;0.88
4;2.46
3;0.24
3;1.11
5;0.56
5;0.42
4;1.14
4;0.58
3;0.53
5;2.63
4;2.1
7;1.36
3;0.57
6;1.72
3;0.73
7;1.53
5;1.82
4;1.03
6;0.78
3;1.13
3;0.16
5;1.14
7;2.93
3;1.95
5;1.62
3;0.79
3;0.46
4;0.55
3;0.88
5;2.4
4;0.77
5;0.85
3;0.36
3;0.87
8;2.18
3;0.73
3;0.48
3;2.21
5;0.35
4;0.96
5;1.92
3;0.86
6;3.54
3;0.78
8;1.97
5;1.32
3;0.94
5;1.49
3;0.39
4;1.73
3;0.54
5;2.21
3;2.64
3;0.62
4;1.18
3;0.75
7;1.76
6;2.55
4;0.85
3;1.16
5;1.62
4;1.06
5;0.65
4;1.22
14;7.29
3;1.3
3;0.78
3;0.94
3;0.8
3;0.51
3;0.75
6;1.79
9;1.97
6;0.82
3;0.37
6;2.29
7;3.3
4;1.74
3;0.29
6;2.8
5;1.44
3;1.32
5;1.55
4;0.45
6;0.92
3;0.75
4;3.25
5;1.59
3;0.05
3;0.75
4;1.51
3;0.5
3;0.87
9;5.48
3;1.5
7;1.55
3;0.8
3;1.26
9;1.53
3;0.54
3;0.87
5;0.78
3;0.84
4;1.61
3;0.33
3;0.72
4;2.16
4;1.91
3;0.57
3;1.79
3;0.15
3;0.67
7;1.05
6;1.72
3;0.75
4;1.01
3;0.24
4;0.48
7;0.62
3;0.81
3;0.64
3;0.3
4;0.46
3;1.06
4;0.92
3;0.73
5;0.98
4;1.08
3;0.25
7;1.79
4;0.13
4;0.81
6;1.4
6;2.79
3;0.38
4;1.27
4;0.68
4;2.2
7;2.66
3;1.15
4;0.23
5;2.25
9;2.15
3;1.19
3;1.71
4;0.43
4;1.2
3;0.71
3;0.41
3;0.4
5;1.29
3;0.4
4;0.65
12;5.37
3;0.69
4;1.06
3;1.33
3;1.02
3;0.67
3;1.08
3;0.9
3;0.14
4;1.05
5;1.14
5;2.64
5;1.09
4;1.31
4;0.6
8;2.73
5;1.42
3;2.97
5;0.77
3;0.64
4;0.63
4;0.67
3;1.14
5;0.87
5;2.24
3;1.58
5;1.15
3;0.05
3;0.6
4;0.92
4;1.46
8;3.82
6;3.45
7;1.24
3;0.94
4;0.84
4;1.13
3;0.58
3;0.68
11;2.31
11;4.73
5;0.9
6;2.18
10;2.0
3;0.61
4;2.14
4;1.57
16;3.8
4;0.56
5;1.52
6;1.03
5;1.52
5;1.25
3;1.17
4;1.74
3;0.73
4;1.53
3;0.61
7;1.64
3;0.38
6;1.71
3;1.05
4;1.59
4;1.28
5;4.14
3;1.43
4;0.71
5;2.12
4;0.7
3;1.02
6;1.58
3;1.91
3;6.9
3;1.5
3;0.76
5;1.18
6;1.84
3;0.5
7;1.02
3;1.42
3;0.84
5;1.15
3;0.65
6;0.62
6;1.64
7;1.19
4;2.06
5;4.39
3;0.44
3;1.23
4;0.5
6;1.15
3;0.88
7;2.81
7;2.79
3;2.36
3;4.59
5;0.92
3;0.26
4;1.13
7;2.55
3;0.95
9;3.2
8;3.51
5;1.45
4;0.7
8;2.72
3;0.55
3;0.69
3;1.04
13;4.88
9;2.73
5;1.55
4;0.98
3;0.81
4;1.47
4;1.61
5;0.51
4;0.91
4;2.74
10;8.31
3;1.58
6;1.38
3;0.54
5;1.28
5;1.89
4;0.45
3;0.61
6;2.59
6;3.2
6;2.02
3;1.0
4;1.1
3;1.44
3;0.65
6;1.96
4;0.58
3;0.98
5;0.34
3;0.57
3;3.26
7;1.43
4;2.0
7;2.0
3;2.01
5;3.01
3;0.64
4;1.67
5;3.04
5;1.37
4;0.5
4;3.47
4;2.07
5;2.11
5;0.77
4;1.24
8;1.65
3;1.54
3;0.99
5;0.72
4;1.74
3;1.41
4;1.13
4;0.94
3;0.56
6;1.25
8;2.38
3;0.76
7;1.59
3;0.43
13;4.6
3;0.4
5;2.78
8;2.69
3;0.88
6;1.78
9;1.31
3;0.64
3;0.34
3;0.86
3;1.07
3;0.92
4;4.25
4;0.94
3;0.5
5;0.82
7;3.39
3;1.27
3;1.73
7;1.9
3;0.66
4;1.44
4;2.05
6;1.71
3;2.2
6;3.2
3;0.94
3;1.39
4;2.13
4;2.61
5;3.99
6;1.33
4;0.9
4;1.3
4;1.19
7;1.41
6;1.71
3;0.31
4;3.59
3;0.32
7;1.45
3;0.63
3;0.73
6;2.38
5;1.21
3;1.49
4;1.84
3;0.54
3;0.26
5;3.13
4;1.05
3;0.27
7;1.17
5;1.74
3;1.12
3;0.51
6;1.24
3;0.44
4;1.18
3;0.85
7;2.58
4;1.59
3;0.79
4;1.38
3;0.21
4;0.88
3;0.88
3;1.24
3;0.88
4;0.59
4;0.99
6;2.04
5;1.05
5;1.1
3;0.34
3;0.39
5;0.42
3;0.86
5;1.45
3;0.82
5;2.42
4;0.59
3;1.33
3;0.73
3;3.18
3;1.11
5;1.82
3;0.09
3;0.39
4;3.03
9;2.3
5;2.34
6;3.35
3;0.83
5;1.9
5;1.4
3;0.98
3;3.22
3;0.72
5;2.39
4;0.98
6;0.75
7;2.29
4;2.59
3;0.87
3;0.98
3;1.07
4;1.83
5;0.96
3;0.32
4;0.58
3;0.4
4;0.63
4;1.07
5;1.88
5;1.92
3;1.66
3;0.69
4;2.88
3;1.87
4;1.75
5;1.07
3;0.23
4;0.5
4;0.59
3;1.46
4;0.99
3;0.91
6;1.79
3;0.18
6;2.79
3;0.56
5;1.7
3;0.64
4;2.64
5;0.75
7;3.62
4;1.67
4;1.19
3;1.23
3;1.24
5;1.73
3;1.71
3;0.78
3;1.68
3;0.55
6;3.48
3;0.98
7;2.2
3;0.69
4;0.63
3;0.25
7;4.95
3;0.77
4;0.42
7;3.49
4;2.33
4;1.39
3;0.48
5;5.18
3;2.3
3;0.78
6;2.76
6;2.06
3;0.86
8;2.83
3;0.52
3;1.25
3;0.65
3;0.73
5;0.94
3;1.5
4;0.98
3;0.82
4;3.53
4;1.02
3;0.56
3;0.93
5;2.97
11;2.29
3;1.32
8;1.33
4;0.62
3;3.02
7;2.64
4;4.88
6;2.13
4;0.41
3;1.18
5;1.27
3;1.78
7;2.72
6;2.7
3;1.76
4;1.4
3;2.34
7;4.33
4;1.15
5;2.6
3;2.25
5;2.62
5;1.56
4;3.16
3;1.15
3;0.82
3;1.31
3;0.49
6;1.07
3;0.56
3;0.87
7;1.38
4;1.21
3;0.61
5;1.19
3;0.16
3;0.35
5;0.97
9;1.53
4;1.21
3;0.4
4;2.01
7;2.38
6;1.38
3;1.64
3;0.3
3;0.07
3;0.69
3;0.62
3;3.63
4;1.26
3;0.13
6;1.84
3;0.13
3;1.7
4;0.1
5;2.11
3;0.81
3;0.94
3;0.79
4;0.83
3;0.36
5;1.59
3;0.09
3;0.43
6;1.85
4;1.12
4;1.33
4;1.12
4;0.53
7;1.66
4;0.98
5;0.71
3;0.83
6;1.17
5;1.91
3;0.65
3;0.66
6;2.88
5;0.44
3;0.67
8;2.58
3;0.75
3;1.33
3;0.61
3;0.39
8;1.96
4;0.38
3;0.63
3;0.56
6;1.25
3;0.43
4;1.19
3;0.71
3;0.5
3;0.88
5;1.28
3;0.5
3;0.14
5;0.81
3;0.33
3;0.38
9;1.51
4;1.09
4;1.12
5;0.81
3;0.68
5;1.69
3;0.56
3;0.24
4;0.46
4;1.92
3;0.84
5;1.01
4;1.27
3;0.25
3;0.64
6;0.9
3;1.09
3;0.75
3;1.33
4;0.85
4;0.54
7;1.62
3;0.11
6;0.4
4;0.2
3;0.46
4;0.81
3;0.62
4;0.59
3;0.12
5;1.38
4;0.61
5;0.84
5;0.38
3;0.25
4;0.44
